account_id,account_name,industry,segment
f1bc845a-66e1-425e-a7f8-e8f9c1b9cb4b,"Zemlak, Abshire and Kemmer",Business Services,SMB
ee0b8b65-7b06-423c-a4b6-e6a90db56f60,Harris Group,Major Banks,Midmarket
c8910794-2b3a-40bd-b25b-6cf2b144d693,Rogahn-Bogan,Restaurants,SMB
b6df2856-e21a-480e-94d2-e4b714f0b828,Boyle-Little,n/a,Enterprise
7b0c4f38-9837-4798-beef-c1b742997439,Hammes-Gibson,Major Pharmaceuticals,SMB
843780d2-844a-4a12-9832-0e4883702b73,Daugherty-Bednar,Medical/Dental Instruments,SMB
f8d8f7c6-d4d9-4743-9b25-3b35bd22a1d9,Conn Group,Apparel,Midmarket
30399d7c-d20e-44e1-b249-a0fdca9c40cf,Friesen and Sons,Computer Software: Prepackaged Software,Midmarket
d7ddfd6c-8d30-40fe-9b10-9b19204aa50e,Paucek-Vandervort,n/a,SMB
0cf711fe-c754-4dd6-a20c-f6248ef06d01,Steuber-Zboncak,n/a,SMB
c7601916-5ec9-42fa-bcae-50f8110d9698,Sauer-Macejkovic,Semiconductors,SMB
76abf1fd-1d15-415e-827c-d1b2468dc140,Kutch and Sons,n/a,SMB
3355cd61-93eb-4fbf-aa87-3a0556345012,"Jacobs, O'Hara and Rempel",n/a,Midmarket
06d6e7ca-ee5a-4896-a01c-1d109a983586,"Rippin, Rutherford and Schamberger",Major Banks,Midmarket
6bd9dffa-2734-440b-957c-1dbb3aef2a2c,Schneider-Wyman,Auto Parts:O.E.M.,Midmarket
e1fa8d8b-4191-4796-a4d5-1338d7cb53b0,Fisher Inc,n/a,Enterprise
185e5ee7-3dfe-47cc-b9c1-242021ccdee4,Kris and Sons,n/a,Midmarket
4e1de386-91e3-4aa6-9504-a00ef1a230ff,Kohler Inc,Computer Software: Prepackaged Software,SMB
9aeb3a2d-2a87-4b40-a919-41707e8ed7de,Torphy-O'Connell,Hospital/Nursing Management,SMB
ffaffbee-43d5-4bd3-9d58-fd28b9e262d9,Rippin-Senger,Investment Bankers/Brokers/Service,Midmarket
32bb3bf0-5e69-4af0-881e-4b745cb6aa4c,Armstrong and Sons,Packaged Foods,Midmarket
65292f45-6c98-47c7-9623-7f6b0a96e0f8,Mosciski Inc,Integrated oil Companies,Midmarket
968acb68-8fcc-47ca-b916-e4036451d949,"Lockman, Von and Torphy",Specialty Insurers,Midmarket
481d0d84-2f3c-48bb-b43a-af31c92eb45a,Sipes and Sons,Property-Casualty Insurers,Midmarket
e000e745-e814-47d5-a843-8dd87a2b7961,"Romaguera, Mante and Reichert",Oil & Gas Production,Midmarket
bfb827c0-4b53-4fd6-b956-2e63a144d335,McLaughlin-Wolff,Building operators,SMB
6889908b-dcfa-450d-8cc3-8ddcaff73363,"Zboncak, Bosco and Crooks",Recreational Products/Toys,Midmarket
ed75151d-f631-4c88-857d-54da99d5ca22,Fay-Wolff,Natural Gas Distribution,Midmarket
ba8064f9-9345-44f2-8889-af18723005ae,Maggio-Thompson,Broadcasting,Midmarket
1ad640c0-735b-428b-9d1f-87b013b69699,Senger-Koepp,Real Estate Investment Trusts,Midmarket
8418c8b4-57f6-4604-93cb-5fccbc0eb3fb,Paucek-O'Keefe,n/a,Enterprise
e86eb855-2795-43bf-9937-d48c85df3620,"Stokes, Mueller and Dibbert",n/a,Midmarket
0313b08a-fa81-4ef6-af2e-0a983058e4ee,Glover and Sons,n/a,SMB
73596282-ded4-46d6-841f-86d8d304e88f,Howe Group,n/a,SMB
44410ada-2b22-4eca-898a-c1495cc41ded,Fisher LLC,Mining & Quarrying of Nonmetallic Minerals (No Fuels),SMB
8c60ddc9-07e4-4e4c-b52f-0284472ef31b,Kris Group,n/a,SMB
59e0e07c-bf5a-45e0-9ad0-6ab96ac95a57,"Ortiz, Satterfield and Klein",Property-Casualty Insurers,Midmarket
e7373557-092c-4cce-9f8e-37bb1ac84aee,"Mayer, Flatley and Witting",Biotechnology: Biological Products (No Diagnostic Substances),Midmarket
5b65c2d4-2c6d-4d30-b8ca-5c2d33658f6d,"Carroll, Hilll and Hoppe",n/a,SMB
a11e18bd-1c4d-4e02-bc67-9e948dee70b8,Hermiston and Sons,Major Pharmaceuticals,Midmarket
