lead_id,user_id,deal_id,lead_source,campaign_name,utm_medium,lead_cost,lead_status,created_at,converted_at,SDR,industry,year
76,5cbd8d14-6a36-4b8f-ad1d-a9aafac891cf,2debc371-4811-45e3-ab5b-0855d28e66f6,Organic,Spring Drip Campaign,referral,366.4094791162496,qualified,2025-03-04 17:48:36.623309,,Tori,Data Analytics,2025
77,d428de33-4885-43ef-a1ff-1cd880826c55,,Email,Holiday Promo,organic,346.165513437596,qualified,2024-07-23 17:48:36.623309,,Barbie,Software Development,2024
78,eb3f34cf-e1b8-41b5-842a-901606d471ea,6ba831f8-6e17-4764-b8e1-4bd8fe3715a1,Google Ads,Q1 Paid Search,email,443.3729226115833,qualified,2022-11-13 17:48:36.623309,,Tori,AI & Machine Learning,2022
79,305396d3-dfd4-4d34-a7c2-9b25fad3f48d,d74dfe47-c002-4209-bad2-4a0b1676afd9,Referral,Q2 Retargeting,organic,319.87427406657974,qualified,2023-01-09 17:48:36.623309,,Ken,Software Development,2023
80,aae9b2ab-797f-44cc-8891-6275a1cf7e54,,Webinar,Q1 Paid Search,social,505.1971635495235,contacted,2022-12-16 17:48:36.623309,,Barbie,Cloud Computing,2022
81,5fa834b8-c907-47a9-b027-ae219a574c9a,aed219e8-fcda-404f-b7d4-0144048292cc,Referral,SEO Blog,paid_search,381.0603177741805,new,2023-04-16 17:48:36.623309,,Jake,Cloud Computing,2023
82,fc2e5781-2aa7-47cc-bfc9-391d407942a5,8e38c656-b90e-4126-b3fe-c83f6df38bc2,Facebook Ads,Q1 Paid Search,email,323.34101326935024,new,2023-08-03 17:48:36.623309,,Midge,Software Development,2023
83,4646c257-7b21-4588-8de8-2a73eb172085,,Webinar,Summer Webinar,email,474.3961289834378,contacted,2025-06-04 17:48:36.623309,,Midge,SaaS,2025
84,76648c11-6047-4ed2-9e18-f17b6615d045,1e73ee89-28e5-4660-97b1-ea5c158d713c,Organic,Holiday Promo,email,293.2784531042077,qualified,2023-02-05 17:48:36.623309,,Jake,Data Analytics,2023
85,67a4ca12-06d2-416c-b459-4bdd982d6604,f396362d-b4c3-4f88-9814-1dcbaf79587c,Facebook Ads,Customer Referral,organic,387.11556537118,new,2025-09-30 17:48:36.623309,,Tori,Data Analytics,2025
86,c705d3c3-6025-4bc3-a358-ec8334b220bb,,Webinar,Spring Drip Campaign,paid_search,691.4065713783453,new,2022-12-07 17:48:36.623309,,Ken,Networking Solutions,2022
87,4fe3d573-2907-4e8a-9606-30318f08d7d2,,LinkedIn,Spring Drip Campaign,organic,270.3390511378908,new,2023-07-07 17:48:36.623309,,Midge,Software Development,2023
88,b8cb8552-7aa2-4316-a571-9d6cb409ddab,,Email,Customer Referral,referral,323.4044073296627,new,2022-12-31 17:48:36.623309,,Barbie,AI & Machine Learning,2022
89,90bd0d97-f32e-4651-9655-d29e6b0936f9,170170c5-1118-46bb-8c38-38249edf53a0,Referral,Product Launch,social,211.26550871307367,qualified,2023-11-07 17:48:36.623309,,Midge,Networking Solutions,2023
90,b54e5e26-c705-4423-a219-0c0022e2270a,fb2f1ff1-10ff-4f66-a38e-6da0ff352e5d,Facebook Ads,SEO Blog,social,259.98944000271985,contacted,2024-06-27 17:48:36.623309,,Tori,Software Development,2024
91,e51ad0b6-a06e-44bb-a1ef-54ffdd9ba9ed,,Google Ads,SEO Blog,organic,328.3810939128201,new,2023-02-04 17:48:36.623309,,Tori,Managed IT Services,2023
92,edf51ecf-0356-4359-974a-6fa891376e94,,Facebook Ads,Holiday Promo,referral,314.40140012026626,contacted,2022-11-14 17:48:36.623309,,Ken,Networking Solutions,2022
93,a5803a7f-de08-4653-8739-2326ada9c1ce,,LinkedIn,Q2 Retargeting,organic,326.1937351900178,contacted,2025-08-31 17:48:36.623309,,Midge,AI & Machine Learning,2025
94,6e7bfc6f-afd7-496f-8625-d1fd0cc1b953,8f99f32c-a12f-4875-865b-e61347ba186b,LinkedIn,Customer Referral,social,332.8178144455647,new,2024-05-08 17:48:36.623309,,Ken,Networking Solutions,2024
95,15e645c7-4b3c-4884-b52c-f6bffa1cc8f3,c8db2a80-218d-4509-8fa0-9d84517c10d2,Webinar,Product Launch,organic,652.9148046134718,qualified,2024-02-20 17:48:36.623309,,Barbie,Cloud Computing,2024
96,216d3aa4-568b-4f4d-806b-26ae687f060b,6280ac7a-8bd9-47c0-b27a-2ad196c5846c,Referral,SEO Blog,social,449.3735500060369,new,2023-04-28 17:48:36.623309,,Barbie,Data Analytics,2023
97,d805403a-f5c1-4a43-93cc-091bbb23dd0e,e1baeb6f-8137-41c0-b9c5-aa2b00e4d6a3,Organic,Summer Webinar,social,296.64697020832824,contacted,2024-05-27 17:48:36.623309,,Ken,Networking Solutions,2024
98,59507695-846a-4ee1-9e79-cb2751370a51,,Google Ads,Summer Webinar,email,304.0808013391408,contacted,2024-07-09 17:48:36.623309,,Barbie,AI & Machine Learning,2024
99,7c586323-e440-4bbb-b5f7-5e0e237300ce,c2e3741f-16a1-4c06-a669-73296ee79aba,Facebook Ads,Customer Referral,paid_search,337.3606144740808,contacted,2024-01-11 17:48:36.623309,,Jake,Cloud Computing,2024
100,20fcc3cb-b8e2-4f9a-8bf6-8a45f87e5cb7,04bc6766-8d8b-43bc-921a-e1140d8925ce,Google Ads,Holiday Promo,paid_search,272.0244220658419,new,2024-09-30 17:48:36.623309,,Jake,Cloud Computing,2024
101,b7612352-315d-458b-a9b7-0f6584a08fef,,Referral,Spring Drip Campaign,social,277.0530821175107,qualified,2023-06-01 17:48:36.623309,,Jake,SaaS,2023
102,9364944e-bd59-4620-8309-92b552d5c76a,,Webinar,Customer Referral,email,705.0084953059666,new,2025-03-12 17:48:36.623309,,Barbie,Software Development,2025
103,b5198c8b-b44e-40d7-8cf2-6e5ace4e8541,,LinkedIn,Spring Drip Campaign,email,364.51969973068486,contacted,2023-09-25 17:48:36.623309,,Tori,Data Analytics,2023
104,ea1d7776-80ef-4d05-814e-18a6d06ed865,,Referral,Q2 Retargeting,paid_search,268.8000598306415,contacted,2023-09-01 17:48:36.623309,,Jake,AI & Machine Learning,2023
105,ffa71144-7c91-4671-b6a8-cc26e99f4c6e,bc482a88-471c-4804-a11d-1e9e5ab17d66,Organic,Q1 Paid Search,paid_search,439.776225826132,new,2023-01-03 17:48:36.623309,,Jake,Data Analytics,2023
106,4293c42e-595e-4d49-9489-adcbea84aef3,9e590331-153a-4912-a183-a6f09af5dad3,Referral,Spring Drip Campaign,referral,430.6924062492188,new,2023-11-01 17:48:36.623309,,Midge,DevOps,2023
107,dd1468c9-d468-48ae-bdc0-63fda50073b7,4573bfb5-b950-4fba-9154-bbe4d37bf08a,LinkedIn,Summer Webinar,referral,284.5034446636635,new,2023-08-11 17:48:36.623309,,Tori,Cybersecurity,2023
108,24d5d373-7fe0-49cf-838d-c9d7b2698dc1,,Organic,Summer Webinar,social,243.797937393996,contacted,2025-01-19 17:48:36.623309,,Ken,IT Consulting,2025
109,ed70dc50-c3ef-403f-afe4-6edb56112010,,Facebook Ads,Spring Drip Campaign,email,369.7621337641485,qualified,2024-12-11 17:48:36.623309,,Jake,DevOps,2024
110,72cfa50d-e3e8-4788-9128-d4ed7daa08b0,,Email,Spring Drip Campaign,referral,355.5508838471552,new,2024-02-26 17:48:36.623309,,Jake,AI & Machine Learning,2024
111,fff15bdb-0235-4040-a43f-e47c5a4a8cf9,e212e8d7-bb72-438b-b8c9-7ae22ec7280a,Webinar,Q2 Retargeting,email,641.1761377912403,new,2025-09-14 17:48:36.623309,,Barbie,AI & Machine Learning,2025
112,90757541-3443-4c60-a420-01a4ae7bc526,d27b9e13-ec5d-43e7-89ee-02cf41a21b1b,LinkedIn,Q2 Retargeting,referral,360.6430677651005,contacted,2023-04-30 17:48:36.623309,,Ken,Managed IT Services,2023
113,4d8c15b0-4594-4481-a067-ec67a1c00bc1,,Referral,Q2 Retargeting,social,391.2018532495207,qualified,2024-08-23 17:48:36.623309,,Midge,Cybersecurity,2024
114,146b2479-09c5-47c6-9f11-401ea252b60f,,Webinar,Customer Referral,social,435.3835862383679,qualified,2025-03-27 17:48:36.623309,,Midge,AI & Machine Learning,2025
115,b3c5f6e9-21ff-4bf1-aedb-8bdffc021fe4,,Email,Q1 Paid Search,social,274.93954708945216,qualified,2024-03-13 17:48:36.623309,,Ken,AI & Machine Learning,2024
116,bdc541c1-8884-4259-bb97-3e9b157207f8,55357e8c-4fc5-40d6-b551-536fb6c11271,Referral,Product Launch,paid_search,427.5110739555201,new,2024-01-25 17:48:36.623309,,Barbie,AI & Machine Learning,2024
117,5bfee531-11bb-44f8-8a25-eef75c548d0e,96cb207e-3a1a-4f27-836e-5b0d9123fc15,Google Ads,Product Launch,organic,348.4979698516133,new,2023-10-08 17:48:36.623309,,Jake,AI & Machine Learning,2023
118,870aa970-6cb1-4cb0-b9b9-c7673a55019a,,Email,Q2 Retargeting,paid_search,324.12454029838347,qualified,2023-09-04 17:48:36.623309,,Jake,AI & Machine Learning,2023
119,2b997dba-7411-438b-b3e8-fd62b9da4ac6,c1b68277-f9f7-4275-adc3-b5da55024886,LinkedIn,Customer Referral,social,172.51784820429228,qualified,2024-06-22 17:48:36.623309,,Midge,Managed IT Services,2024
120,f785bf3a-c338-439f-a676-08bfcf984c37,6e699bfc-b45f-4b0e-8417-56518c5ae709,Organic,SEO Blog,referral,293.445505260918,new,2023-04-07 17:48:36.623309,,Midge,DevOps,2023
121,c240bfbf-f9e2-4eeb-9b87-9164c0bf153d,24a8e6a7-79a6-4a52-88ba-ecf4fdebc4b0,Organic,Summer Webinar,email,363.33265600623145,qualified,2024-10-28 17:48:36.623309,,Jake,Networking Solutions,2024
122,eb075c0b-7a1c-45dc-88b4-78fd7b5241ed,,Organic,Q1 Paid Search,referral,284.0255171146207,contacted,2022-11-29 17:48:36.623309,,Midge,Networking Solutions,2022
123,da9d4fe5-6636-4c9a-8e8a-d9b256fa6759,73756060-e239-45dc-869f-06a2b937bf5e,LinkedIn,Customer Referral,paid_search,300.1446502188302,contacted,2023-05-25 17:48:36.623309,,Jake,Cybersecurity,2023
124,a1c36f78-d442-4d80-aa1d-357be5c67739,9054a3f5-d3c0-4522-aeef-4b244392bc3e,Webinar,Summer Webinar,paid_search,517.5176968872402,new,2024-09-30 17:48:36.623309,,Barbie,Software Development,2024
125,7247c2d0-a108-4418-86c2-ff70b9d6bad4,,Webinar,Spring Drip Campaign,email,537.8367163531468,disqualified,2025-08-15 17:48:36.623309,,Midge,DevOps,2025
126,73eabcff-2908-474d-89f2-84e9d3f75726,65b8aa73-70c2-4dbe-8d4e-cc7d32baa308,Webinar,Summer Webinar,organic,506.170466036893,new,2023-06-21 17:48:36.623309,,Barbie,Cloud Computing,2023
127,b8388bf1-6ede-4165-af25-0664848f291a,c1a48e09-d591-43ba-8262-d7572b9de358,Email,Q1 Paid Search,email,313.6112050046164,qualified,2024-04-02 17:48:36.623309,,Ken,SaaS,2024
128,1f0148b2-af04-4b8a-8a05-6b7fd1a9c330,7e45fb8f-04f9-404b-8514-0c696353c22c,Webinar,Q1 Paid Search,organic,492.44000680680233,contacted,2025-08-19 17:48:36.623309,,Tori,Networking Solutions,2025
129,55f6cd75-b884-4733-9fba-0442aa16fe8f,96dfd4e6-2412-4ce8-afe4-1db970977e84,Organic,Q1 Paid Search,organic,288.21464025362417,contacted,2024-08-22 17:48:36.623309,,Jake,Managed IT Services,2024
130,5a07a7b7-d574-443f-aee0-eb9e729bba2e,,Facebook Ads,Summer Webinar,referral,303.4550693583388,new,2025-06-09 17:48:36.623309,,Jake,DevOps,2025
131,516e3453-96a3-4a1f-9935-8d32f28f4999,a00f2829-bc2b-48a9-b0e5-50b752962ca7,Email,Q1 Paid Search,social,299.7973540751127,qualified,2024-09-19 17:48:36.623309,,Ken,SaaS,2024
132,4cb38648-57b2-421f-96f7-3fbe768e50df,,Google Ads,SEO Blog,paid_search,333.7594361832136,new,2025-02-11 17:48:36.623309,,Jake,Data Analytics,2025
