lead_id,user_id,continent,country_name,country_code,state_or_province_name,state_code,postal_code,latitude,longitude
34,72592712-921f-4205-93ec-fa22158afc06,North America,United States,USA,New York,NY,18323,40.7128,-74.006
35,9f473c03-531d-4a93-9b6e-e4876bf460f1,North America,United States,USA,California,CA,94531,37.7749,-122.4194
36,75f95ab4-8899-4a70-9ca4-f83fbb481a70,Asia,Japan,JPN,Kanagawa,14,2223315,35.6762,139.6503
37,03bc9e96-9c16-4f99-b53d-eeffb941f302,North America,United States,USA,California,CA,97565,37.7749,-122.4194
38,c194a458-4d1b-4e94-9fb2-cf7fa7d2309b,Asia,Japan,JPN,Chiba,12,2017027,35.6762,139.6503
39,7349b31e-0609-490e-a9d5-51ecd71f3580,Oceania,Australia,AUS,Northern Territory,NT,0538,-33.8688,151.2093
40,e449a83d-b12b-458d-aefc-d18f957d78e9,North America,United States,USA,Colorado,CO,85963,40.7128,-74.006
41,c6114167-f083-4273-be6b-403bedbe6e5b,Oceania,Australia,AUS,Tasmania,TAS,7871,-33.8688,151.2093
42,a539a89a-db2a-4fa2-8693-a300c4ee18f2,Asia,Japan,JPN,Chiba,12,2731316,35.6762,139.6503
43,a6d95065-c6be-4eff-8915-47a639684070,Asia,Japan,JPN,Osaka,27,5877260,34.6937,135.5023
44,04591355-47bf-408e-9008-8af53013ee66,North America,United States,USA,Illinois,IL,67967,40.7128,-74.006
45,228b25e3-5a26-4251-a1dc-507217372a4f,Asia,Japan,JPN,Aichi,23,4681902,35.6762,139.6503
46,2f43e291-6421-458c-b425-033bad13db54,Oceania,Australia,AUS,New South Wales,NSW,2055,-33.8688,151.2093
47,6e6c8497-e93d-4d1e-a0ea-84c54485e672,North America,United States,USA,North Carolina,NC,24842,40.7128,-74.006
48,5e35839a-77d6-4811-be2b-c03b75e90add,Oceania,Australia,AUS,Australian Capital Territory,ACT,2138,-33.8688,151.2093
49,bb52f1c2-63df-40f1-b875-cd0303ed25f9,Asia,Japan,JPN,Kyoto,26,6663168,35.6762,139.6503
50,4fceef55-969e-455d-aedc-5b161471d908,North America,United States,USA,Ohio,OH,41443,40.7128,-74.006
51,de08cb11-9058-440f-bf96-ee765603e136,Oceania,Australia,AUS,Tasmania,TAS,7636,-33.8688,151.2093
52,27b42213-e083-4cdc-b377-039260a582fd,North America,United States,USA,North Carolina,NC,25709,40.7128,-74.006
53,be658978-bd9b-4c3f-91f3-01d8b6fededb,Asia,Japan,JPN,Saitama,11,3378829,35.6762,139.6503
54,998c1536-c6d9-4539-9b3b-46794c7b1e53,Oceania,Australia,AUS,New South Wales,NSW,2195,-33.8688,151.2093
55,cc1b1a45-63bf-49dd-925b-ac224e956fb6,Oceania,Australia,AUS,Northern Territory,NT,0774,-33.8688,151.2093
56,eaefcb85-ee8a-4dfc-891c-39647a5d3c66,North America,United States,USA,Georgia,GA,31097,40.7128,-74.006
57,eb8c5186-9dc7-41ae-93cc-a34725c8011d,Oceania,Australia,AUS,Queensland,QLD,4712,-33.8688,151.2093
58,08b2a241-d8fc-4693-a4e3-7054fa7b59ae,Oceania,Australia,AUS,New South Wales,NSW,2897,-33.8688,151.2093
59,f5f892b5-cad0-4c3d-9277-70563434c3b6,Asia,Japan,JPN,Chiba,12,2437778,35.6762,139.6503
60,cba8b34e-48bc-4e8b-8c88-8bf2dd16c431,North America,United States,USA,California,CA,90740,37.7749,-122.4194
61,59029328-6cbb-4429-948d-b80e64f564f5,North America,United States,USA,Pennsylvania,PA,15307,40.7128,-74.006
62,8e1d4b8b-6d84-4f0e-adc6-be8da1d5b491,North America,United States,USA,Texas,TX,75757,40.7128,-74.006
63,14bcf6ae-cf56-4c9f-99d1-22eccc712ef8,North America,United States,USA,Massachusetts,MA,00545,40.7128,-74.006
64,78c5e51e-d7a8-424f-9602-b2a1fa453e64,Asia,Japan,JPN,Hyogo,28,6948301,35.6762,139.6503
65,b31775c4-4138-4ebe-a07d-0bf1ff71806c,Oceania,Australia,AUS,Tasmania,TAS,7467,-33.8688,151.2093
66,334b1d5b-d770-4af0-a531-88c35abe7cc3,Asia,Japan,JPN,Aichi,23,4450460,35.6762,139.6503
67,5ba2d178-2919-45f6-9bf9-a82f75e5d551,Asia,Japan,JPN,Tokyo,13,1151632,35.6762,139.6503
68,8e3a2005-e41b-4942-b9a1-7e0f9eb68a51,North America,United States,USA,Colorado,CO,80148,40.7128,-74.006
69,adacf2ae-4235-4918-9c18-53bd303511e0,North America,United States,USA,Colorado,CO,84922,40.7128,-74.006
70,de65edd2-69ff-4ba7-8741-b85db06a3465,Asia,Japan,JPN,Saitama,11,3304693,35.6762,139.6503
71,c4ca07c8-0bfb-4dce-8e3b-e00fb7423e62,Oceania,Australia,AUS,Queensland,QLD,4545,-33.8688,151.2093
72,bf6ecfe0-1dd4-4868-91d0-56690fc62823,North America,United States,USA,Washington,WA,98622,40.7128,-74.006
73,d428de33-4885-43ef-a1ff-1cd880826c55,North America,United States,USA,Pennsylvania,PA,12800,40.7128,-74.006
74,f775c26a-9965-4610-b274-786bf7b3172c,Oceania,Australia,AUS,Queensland,QLD,4820,-33.8688,151.2093
75,e8081d3d-b051-4a91-a822-535c769de5a2,Asia,Japan,JPN,Kanagawa,14,2774819,35.6762,139.6503
76,5cbd8d14-6a36-4b8f-ad1d-a9aafac891cf,North America,United States,USA,Washington,WA,98543,40.7128,-74.006
77,d428de33-4885-43ef-a1ff-1cd880826c55,Oceania,Australia,AUS,South Australia,SA,5039,-33.8688,151.2093
78,eb3f34cf-e1b8-41b5-842a-901606d471ea,North America,United States,USA,Colorado,CO,83933,40.7128,-74.006
79,305396d3-dfd4-4d34-a7c2-9b25fad3f48d,Asia,Japan,JPN,Fukuoka,40,8209297,35.6762,139.6503
80,aae9b2ab-797f-44cc-8891-6275a1cf7e54,Oceania,Australia,AUS,Victoria,VIC,3340,-33.8688,151.2093
81,5fa834b8-c907-47a9-b027-ae219a574c9a,North America,United States,USA,Florida,FL,34920,40.7128,-74.006
82,fc2e5781-2aa7-47cc-bfc9-391d407942a5,Asia,Japan,JPN,Aichi,23,4106571,35.6762,139.6503
83,4646c257-7b21-4588-8de8-2a73eb172085,Asia,Japan,JPN,Hyogo,28,6470074,35.6762,139.6503
84,76648c11-6047-4ed2-9e18-f17b6615d045,North America,United States,USA,Massachusetts,MA,06805,40.7128,-74.006
85,67a4ca12-06d2-416c-b459-4bdd982d6604,North America,United States,USA,Massachusetts,MA,01562,40.7128,-74.006
86,c705d3c3-6025-4bc3-a358-ec8334b220bb,Asia,Japan,JPN,Kyoto,26,6258675,35.6762,139.6503
87,4fe3d573-2907-4e8a-9606-30318f08d7d2,Asia,Japan,JPN,Saitama,11,3843720,35.6762,139.6503
88,b8cb8552-7aa2-4316-a571-9d6cb409ddab,Oceania,Australia,AUS,Australian Capital Territory,ACT,2494,-33.8688,151.2093
89,90bd0d97-f32e-4651-9655-d29e6b0936f9,Asia,Japan,JPN,Hyogo,28,6120510,35.6762,139.6503
90,b54e5e26-c705-4423-a219-0c0022e2270a,North America,United States,USA,Massachusetts,MA,00070,40.7128,-74.006
91,e51ad0b6-a06e-44bb-a1ef-54ffdd9ba9ed,North America,United States,USA,Pennsylvania,PA,14077,40.7128,-74.006
92,edf51ecf-0356-4359-974a-6fa891376e94,Asia,Japan,JPN,Aichi,23,4113540,35.6762,139.6503
93,a5803a7f-de08-4653-8739-2326ada9c1ce,Asia,Japan,JPN,Aichi,23,4443649,35.6762,139.6503
94,6e7bfc6f-afd7-496f-8625-d1fd0cc1b953,Asia,Japan,JPN,Fukuoka,40,8905887,35.6762,139.6503
95,15e645c7-4b3c-4884-b52c-f6bffa1cc8f3,Oceania,Australia,AUS,Victoria,VIC,3301,-33.8688,151.2093
96,216d3aa4-568b-4f4d-806b-26ae687f060b,Oceania,Australia,AUS,Tasmania,TAS,7372,-33.8688,151.2093
97,d805403a-f5c1-4a43-93cc-091bbb23dd0e,Asia,Japan,JPN,Hokkaido,01,0348150,35.6762,139.6503
98,59507695-846a-4ee1-9e79-cb2751370a51,Oceania,Australia,AUS,Northern Territory,NT,0428,-33.8688,151.2093
99,7c586323-e440-4bbb-b5f7-5e0e237300ce,North America,United States,USA,Washington,WA,98310,40.7128,-74.006
100,20fcc3cb-b8e2-4f9a-8bf6-8a45f87e5cb7,North America,United States,USA,California,CA,93915,37.7749,-122.4194
101,b7612352-315d-458b-a9b7-0f6584a08fef,North America,United States,USA,Texas,TX,72368,40.7128,-74.006
102,9364944e-bd59-4620-8309-92b552d5c76a,Oceania,Australia,AUS,Queensland,QLD,4310,-33.8688,151.2093
103,b5198c8b-b44e-40d7-8cf2-6e5ace4e8541,North America,United States,USA,Texas,TX,72711,40.7128,-74.006
104,ea1d7776-80ef-4d05-814e-18a6d06ed865,North America,United States,USA,Georgia,GA,34279,40.7128,-74.006
105,ffa71144-7c91-4671-b6a8-cc26e99f4c6e,North America,United States,USA,Pennsylvania,PA,11694,40.7128,-74.006
106,4293c42e-595e-4d49-9489-adcbea84aef3,Asia,Japan,JPN,Saitama,11,3386346,35.6762,139.6503
107,dd1468c9-d468-48ae-bdc0-63fda50073b7,North America,United States,USA,Washington,WA,98465,40.7128,-74.006
108,24d5d373-7fe0-49cf-838d-c9d7b2698dc1,Asia,Japan,JPN,Aichi,23,4801733,35.6762,139.6503
109,ed70dc50-c3ef-403f-afe4-6edb56112010,North America,United States,USA,New York,NY,13233,40.7128,-74.006
110,72cfa50d-e3e8-4788-9128-d4ed7daa08b0,North America,United States,USA,Texas,TX,74339,40.7128,-74.006
111,fff15bdb-0235-4040-a43f-e47c5a4a8cf9,Oceania,Australia,AUS,Tasmania,TAS,7019,-33.8688,151.2093
112,90757541-3443-4c60-a420-01a4ae7bc526,Asia,Japan,JPN,Osaka,27,5598623,34.6937,135.5023
113,4d8c15b0-4594-4481-a067-ec67a1c00bc1,Asia,Japan,JPN,Hyogo,28,6491745,35.6762,139.6503
114,146b2479-09c5-47c6-9f11-401ea252b60f,Asia,Japan,JPN,Fukuoka,40,8176391,35.6762,139.6503
115,b3c5f6e9-21ff-4bf1-aedb-8bdffc021fe4,Asia,Japan,JPN,Kanagawa,14,2030758,35.6762,139.6503
116,bdc541c1-8884-4259-bb97-3e9b157207f8,Oceania,Australia,AUS,Western Australia,WA,6679,-33.8688,151.2093
117,5bfee531-11bb-44f8-8a25-eef75c548d0e,North America,United States,USA,North Carolina,NC,20568,40.7128,-74.006
118,870aa970-6cb1-4cb0-b9b9-c7673a55019a,North America,United States,USA,Texas,TX,79778,40.7128,-74.006
119,2b997dba-7411-438b-b3e8-fd62b9da4ac6,Asia,Japan,JPN,Saitama,11,3790093,35.6762,139.6503
120,f785bf3a-c338-439f-a676-08bfcf984c37,Asia,Japan,JPN,Hokkaido,01,0781359,35.6762,139.6503
121,c240bfbf-f9e2-4eeb-9b87-9164c0bf153d,North America,United States,USA,Ohio,OH,40436,40.7128,-74.006
122,eb075c0b-7a1c-45dc-88b4-78fd7b5241ed,Asia,Japan,JPN,Hokkaido,01,0969043,35.6762,139.6503
123,da9d4fe5-6636-4c9a-8e8a-d9b256fa6759,North America,United States,USA,Massachusetts,MA,00552,40.7128,-74.006
124,a1c36f78-d442-4d80-aa1d-357be5c67739,Oceania,Australia,AUS,Northern Territory,NT,0833,-33.8688,151.2093
125,7247c2d0-a108-4418-86c2-ff70b9d6bad4,Asia,Japan,JPN,Hokkaido,01,0423898,35.6762,139.6503
126,73eabcff-2908-474d-89f2-84e9d3f75726,Oceania,Australia,AUS,Queensland,QLD,4156,-33.8688,151.2093
127,b8388bf1-6ede-4165-af25-0664848f291a,Asia,Japan,JPN,Chiba,12,2952262,35.6762,139.6503
128,1f0148b2-af04-4b8a-8a05-6b7fd1a9c330,North America,United States,USA,North Carolina,NC,25208,40.7128,-74.006
129,55f6cd75-b884-4733-9fba-0442aa16fe8f,North America,United States,USA,Colorado,CO,80521,40.7128,-74.006
130,5a07a7b7-d574-443f-aee0-eb9e729bba2e,North America,United States,USA,Illinois,IL,64611,40.7128,-74.006
131,516e3453-96a3-4a1f-9935-8d32f28f4999,Asia,Japan,JPN,Hokkaido,01,0202757,35.6762,139.6503
132,4cb38648-57b2-421f-96f7-3fbe768e50df,North America,United States,USA,Pennsylvania,PA,16371,40.7128,-74.006
133,11ad3d5a-3fdc-44c4-87cf-99bd86978eed,Asia,Japan,JPN,Hyogo,28,6307474,35.6762,139.6503
134,f9980e25-ec8d-4ddb-b94d-4189497b0c7f,Asia,Japan,JPN,Hokkaido,01,0612942,35.6762,139.6503
135,09404582-9ef7-4e60-b7b8-440453a4cb0c,Oceania,Australia,AUS,Victoria,VIC,3655,-33.8688,151.2093
136,b732b2d6-70ac-4723-b6dc-8162fa883bd2,Asia,Japan,JPN,Osaka,27,5066610,34.6937,135.5023
137,5b3c8286-e9e6-490d-a96a-7a03102d8d29,North America,United States,USA,Georgia,GA,38407,40.7128,-74.006
138,97fb04af-fb7e-4509-b92c-7586bff1e3d3,North America,United States,USA,Florida,FL,32405,40.7128,-74.006
139,59029328-6cbb-4429-948d-b80e64f564f5,Oceania,Australia,AUS,Tasmania,TAS,7267,-33.8688,151.2093
140,1e485951-e9bc-40ab-a5bc-45bb1570a4b7,Asia,Japan,JPN,Hyogo,28,6942767,35.6762,139.6503
141,9849c0ed-1bd9-487c-9ec1-a437a5180294,Asia,Japan,JPN,Osaka,27,5279344,34.6937,135.5023
142,0e8c9a4d-1096-4a37-b1a0-1a1ba6dc82e4,North America,United States,USA,Illinois,IL,61612,40.7128,-74.006
143,82b04a4a-6889-435d-87b1-d4be865406c1,Oceania,Australia,AUS,South Australia,SA,5178,-33.8688,151.2093
144,600286d2-fc0c-40ea-a638-6ef30e91d3a6,North America,United States,USA,Colorado,CO,83452,40.7128,-74.006
145,63cb7487-37e6-464e-aa7d-3d8188f987dc,Oceania,Australia,AUS,Northern Territory,NT,0102,-33.8688,151.2093
146,4aa9cbae-1462-45a4-844f-f23455f38c4b,North America,United States,USA,Texas,TX,72457,40.7128,-74.006
147,3ef4c405-eaf8-498d-b977-37177d844ade,Asia,Japan,JPN,Tokyo,13,1640895,35.6762,139.6503
148,5f533d6f-d2e4-4d95-9ec8-2429687c4e47,North America,United States,USA,Colorado,CO,84322,40.7128,-74.006
149,e3593dcb-ceff-474e-9ee6-da21b8ea8fb4,North America,United States,USA,Ohio,OH,48244,40.7128,-74.006
150,1d563a1b-3ec2-43d0-8b8a-e02d89795659,North America,United States,USA,Texas,TX,74975,40.7128,-74.006
151,34faaefa-3709-4128-9970-7474e14fbe77,Asia,Japan,JPN,Hokkaido,01,0291743,35.6762,139.6503
152,3858133a-1c3c-4051-9d9c-541095137342,Asia,Japan,JPN,Tokyo,13,1729041,35.6762,139.6503
153,93e4ef16-4170-4668-a0a0-c0ff3004d7d7,Asia,Japan,JPN,Saitama,11,3095615,35.6762,139.6503
154,0405c4a8-5961-4de2-b391-d62667adc519,Asia,Japan,JPN,Fukuoka,40,8295404,35.6762,139.6503
155,9afa5051-d47f-43fc-8a92-41a0f355274e,North America,United States,USA,Pennsylvania,PA,17340,40.7128,-74.006
156,0319bc83-3bb2-4507-9617-f85cbfb61c73,Oceania,Australia,AUS,Tasmania,TAS,7009,-33.8688,151.2093
157,af1ad319-d823-4177-a49c-d0edf46ab51f,Asia,Japan,JPN,Tokyo,13,1528367,35.6762,139.6503
158,9dea2d95-183c-4a9b-b033-2dcf8eebb1e8,North America,United States,USA,Ohio,OH,49406,40.7128,-74.006
159,24e487b1-38a8-4efc-b873-3246754791c4,North America,United States,USA,New York,NY,16200,40.7128,-74.006
160,e76d02d9-4a4d-4eaa-94b6-e98188d343ce,Asia,Japan,JPN,Osaka,27,5768070,34.6937,135.5023
161,ac735ea3-be33-4df4-9e77-0d347a70f1fc,Oceania,Australia,AUS,Queensland,QLD,4405,-33.8688,151.2093
162,c6bf5856-7d40-4c2e-b13a-a3206460ed0d,Oceania,Australia,AUS,Western Australia,WA,6814,-33.8688,151.2093
163,d4061071-034a-464e-8a27-07f04c8be34e,Oceania,Australia,AUS,New South Wales,NSW,2567,-33.8688,151.2093
164,f918052d-d6e7-4cef-8902-bb924a815247,Asia,Japan,JPN,Kanagawa,14,2547074,35.6762,139.6503
165,77d70788-0aae-47eb-be08-81e262be4193,Asia,Japan,JPN,Kyoto,26,6765442,35.6762,139.6503
166,5908ac3e-e1ca-4f86-b582-b0c74b6e23a5,North America,United States,USA,Illinois,IL,65685,40.7128,-74.006
167,a2f2ad60-5999-4f8d-908c-ab8fe3ee73e3,Oceania,Australia,AUS,Northern Territory,NT,0914,-33.8688,151.2093
168,3abaee91-2d65-4110-8c8c-e58f220bde81,North America,United States,USA,Colorado,CO,84026,40.7128,-74.006
169,cb9f8fa8-b275-41d7-8542-eaac3a34f732,Oceania,Australia,AUS,Tasmania,TAS,7798,-33.8688,151.2093
170,2bb2ba2e-fdd9-4b74-9049-5607a7fd89f5,North America,United States,USA,Georgia,GA,34699,40.7128,-74.006
171,e8081d3d-b051-4a91-a822-535c769de5a2,Asia,Japan,JPN,Hokkaido,01,0458509,35.6762,139.6503
172,a020631d-7496-4dea-9f74-d3888196a346,North America,United States,USA,Florida,FL,35848,40.7128,-74.006
173,4318b8c4-dbf9-4d1a-8ecd-42fefd864698,Oceania,Australia,AUS,Queensland,QLD,4203,-33.8688,151.2093
174,d5f70390-9d1d-47b8-be68-8f0e87997b5c,Asia,Japan,JPN,Kyoto,26,6437471,35.6762,139.6503
175,a33b1e28-d510-43bb-852d-4bf056b0e2c6,North America,United States,USA,Illinois,IL,69929,40.7128,-74.006
176,41cfd682-7c98-4f7d-86df-5e677099df23,Asia,Japan,JPN,Kanagawa,14,2500367,35.6762,139.6503
177,d2d3c298-f462-4d8c-86a5-c9347746f5bc,Asia,Japan,JPN,Hokkaido,01,0968207,35.6762,139.6503
178,36926c0c-9a03-414d-8bcf-4b081b788273,North America,United States,USA,New York,NY,11800,40.7128,-74.006
179,bbc9b732-aacb-4376-9830-391b538eed82,Oceania,Australia,AUS,Queensland,QLD,4099,-33.8688,151.2093
180,965a5218-a5ad-4d26-b2ee-b0ff6cdad4ef,North America,United States,USA,Texas,TX,70406,40.7128,-74.006
181,e0ad9a33-4787-4d4f-b26d-08ab65cea2cc,Asia,Japan,JPN,Tokyo,13,1197613,35.6762,139.6503
182,ecee9596-5726-4a94-b14f-f60ccd7a4592,Oceania,Australia,AUS,Australian Capital Territory,ACT,2556,-33.8688,151.2093
183,2e6835ee-459e-4b26-a4f3-d7e22e4cfdda,Oceania,Australia,AUS,South Australia,SA,5212,-33.8688,151.2093
184,ab01db3c-ea64-4c8e-b760-aed6b68180ac,Oceania,Australia,AUS,South Australia,SA,5035,-33.8688,151.2093
185,8e1d4b8b-6d84-4f0e-adc6-be8da1d5b491,Asia,Japan,JPN,Tokyo,13,1037495,35.6762,139.6503
186,88a11117-87df-4f92-a60d-2a4f853360e3,Asia,Japan,JPN,Osaka,27,5306704,34.6937,135.5023
187,7e689f97-b61b-4ef6-aa60-f73e4e59c1ea,North America,United States,USA,Ohio,OH,42973,40.7128,-74.006
188,0110281b-23e9-46bf-b95f-cfe02f0676f2,North America,United States,USA,Pennsylvania,PA,12322,40.7128,-74.006
189,9bf2f413-4724-4f3c-9fa5-bbfb8dd7f461,Asia,Japan,JPN,Saitama,11,3983285,35.6762,139.6503
190,ec14f1b9-e818-4da2-8d1e-8badbd61526b,Asia,Japan,JPN,Kanagawa,14,2959564,35.6762,139.6503
191,64b638ef-c920-4853-832e-d591b50b26dc,North America,United States,USA,California,CA,99797,37.7749,-122.4194
192,06864ea0-a5da-460e-9f28-a0a1242424a6,Oceania,Australia,AUS,South Australia,SA,5024,-33.8688,151.2093
193,1fa11c10-e62f-43f3-80dc-72eaf9ad1146,Asia,Japan,JPN,Osaka,27,5226226,34.6937,135.5023
194,e32e5c2c-c06f-410a-9e4a-f3ea4ca502c2,Asia,Japan,JPN,Hokkaido,01,0194930,35.6762,139.6503
195,6ada38d5-e256-4649-85bb-3a0fb13b363f,North America,United States,USA,Georgia,GA,31202,40.7128,-74.006
196,29b4d9aa-ff91-462e-a58a-e790b292807e,Asia,Japan,JPN,Hokkaido,01,0992518,35.6762,139.6503
197,987b7b20-c72c-450a-81ab-aa68e694cc82,Oceania,Australia,AUS,Western Australia,WA,6658,-33.8688,151.2093
198,358eeadd-5071-4c0c-b6b1-3df6c6b9ddb1,North America,United States,USA,North Carolina,NC,29105,40.7128,-74.006
199,e771ba47-3566-4ee7-9c37-29c2562ee152,Oceania,Australia,AUS,New South Wales,NSW,2582,-33.8688,151.2093
200,807d2ab6-ffd1-4817-8ca3-ea5a52d98e71,North America,United States,USA,Illinois,IL,65522,40.7128,-74.006
201,a4e4e811-f7e2-4962-8c7f-d2049331940d,Asia,Japan,JPN,Hyogo,28,6277997,35.6762,139.6503
202,567f7c90-b3ef-4a86-93f9-53a50091136b,Oceania,Australia,AUS,Victoria,VIC,3895,-33.8688,151.2093
203,540d0101-c441-4f9c-a080-2824a1504fcf,Oceania,Australia,AUS,Queensland,QLD,4593,-33.8688,151.2093
204,15f18bcc-01a8-4a7a-85ae-8f5dc23b00fc,Oceania,Australia,AUS,Queensland,QLD,4076,-33.8688,151.2093
205,9929a45c-b50f-485b-8163-ec2f14d646b3,North America,United States,USA,Texas,TX,79525,40.7128,-74.006
206,58d28b6f-7646-4868-8648-ce35faa913a9,Oceania,Australia,AUS,South Australia,SA,5613,-33.8688,151.2093
207,affd4a12-f441-4c38-936d-3911ed51d9a9,Asia,Japan,JPN,Chiba,12,2994540,35.6762,139.6503
208,5e7a1d55-0679-49b1-b1a7-079a3b672ff1,North America,United States,USA,Illinois,IL,64611,40.7128,-74.006
209,b5da7c65-9371-47ed-aab3-a3775d2e94c9,Oceania,Australia,AUS,Northern Territory,NT,0137,-33.8688,151.2093
210,53c9f172-a527-483f-b9a1-3bd154ce51fe,Oceania,Australia,AUS,Western Australia,WA,6988,-33.8688,151.2093
211,d4d9e0a6-3eed-49ac-b0b6-b644ede79d77,Asia,Japan,JPN,Aichi,23,4069072,35.6762,139.6503
212,c6a81011-db94-4af7-9790-80a65e4e07f8,Asia,Japan,JPN,Chiba,12,2107321,35.6762,139.6503
213,6d337078-1872-4b9e-8ca8-7ef9bf2e3612,Asia,Japan,JPN,Osaka,27,5654662,34.6937,135.5023
214,cbf906dc-8eee-4d6a-95ac-b51a0e9a30a0,Oceania,Australia,AUS,South Australia,SA,5335,-33.8688,151.2093
215,27d1902c-45cd-422f-b0f3-fbaf9c46d608,Asia,Japan,JPN,Fukuoka,40,8135194,35.6762,139.6503
216,d19f77eb-ea3b-4c66-aa7b-6cde838f12fc,North America,United States,USA,Washington,WA,98710,40.7128,-74.006
217,735523b3-25fc-4b1a-b8be-f0b9507a9a6b,North America,United States,USA,Colorado,CO,89568,40.7128,-74.006
218,3c763e38-f74f-4967-925e-c7475837c29b,North America,United States,USA,Colorado,CO,80309,40.7128,-74.006
219,297837da-81e5-44bd-b754-2011df6b79c3,North America,United States,USA,Ohio,OH,49021,40.7128,-74.006
220,e7d1a482-8024-4eb8-a740-a1fdf971bbab,North America,United States,USA,Illinois,IL,62793,40.7128,-74.006
221,20c438ba-de40-4a97-b210-5b8525a5ecb9,Asia,Japan,JPN,Osaka,27,5019757,34.6937,135.5023
222,72cfa50d-e3e8-4788-9128-d4ed7daa08b0,Asia,Japan,JPN,Tokyo,13,1642120,35.6762,139.6503
223,04591355-47bf-408e-9008-8af53013ee66,Asia,Japan,JPN,Osaka,27,5974087,34.6937,135.5023
